command,label,template
ls,safe,1
ls -la,safe,2
ls -la dist,safe,3
ls -la scripts,safe,3
ls -la src,safe,3
ls lib,safe,4
ls scripts,safe,4
ls tiny_agent,safe,4
ls -R data,safe,5
ls -R dist,safe,5
ls -R lib,safe,5
ls -lh,safe,6
pwd,safe,7
tree .,safe,8
tree build,safe,8
tree tiny_agent,safe,8
tree -L 2,safe,9
du -sh dist,safe,10
du -sh docs,safe,10
du -sh tests,safe,10
df -h,safe,11
file config.yaml,safe,12
file index.html,safe,12
file utils.js,safe,12
stat Cargo.toml,safe,13
stat src/app.py,safe,13
stat utils.js,safe,13
wc -l Cargo.toml,safe,14
wc -l config.yaml,safe,14
wc -l main.py,safe,14
wc -c data.csv,safe,15
wc -c main.py,safe,15
wc -c report.log,safe,15
find lib -name '*.py',safe,16
find tests -name '*.py',safe,16
find tiny_agent -name '*.py',safe,16
find . -type f -name '*.md',safe,17
find data -type f -name '*.md',safe,17
find scripts -type f -name '*.md',safe,17
find . -type f -name '*.py' | wc -l,safe,18
cat index.html,safe,19
cat report.log,safe,19
cat tests/test_api.py,safe,19
head -n 100 config.yaml,safe,20
head -n 20 package.json,safe,20
head -n 5 index.html,safe,20
tail -n 100 notes.txt,safe,21
tail -n 100 report.log,safe,21
tail -n 5 main.py,safe,21
head README.md,safe,22
head report.log,safe,22
head utils.js,safe,22
nl data.csv,safe,23
nl package.json,safe,23
nl tests/test_api.py,safe,23
cat Cargo.toml | grep FIXME,safe,24
cat Cargo.toml | grep error,safe,24
cat tests/test_api.py | grep timeout,safe,24
grep -n def main package.json,safe,25
grep -n error main.py,safe,25
grep -n timeout src/app.py,safe,25
grep -rn FIXME tiny_agent,safe,26
grep -rn config tests,safe,26
grep -rn user_id tiny_agent,safe,26
grep -c FIXME index.html,safe,27
grep -c error index.html,safe,27
grep -c user_id Cargo.toml,safe,27
grep -ril def main .,safe,28
grep -ril timeout .,safe,28
grep -ril user_id lib,safe,28
rg FIXME,safe,29
rg error,safe,29
rg version,safe,29
rg -n import build,safe,30
rg -n import src,safe,30
rg -n timeout dist,safe,30
rg --files .,safe,31
rg --files dist,safe,31
rg --files lib,safe,31
diff main.py backup.txt,safe,32
diff report.log old.py,safe,32
diff src/app.py backup.txt,safe,32
sort Cargo.toml | uniq -c,safe,33
sort index.html | uniq -c,safe,33
sort main.py | uniq -c,safe,33
"cut -d, -f1 Cargo.toml | head -n 100",safe,34
"cut -d, -f1 config.yaml | head -n 100",safe,34
